"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Theophylline|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Theophylline|Concentration in container [µmol/l]","Organism|Lumen|Theophylline|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,7.399404,28.38474,0
0,6,14.22428,37.76569,0
0,9,20.15333,44.93873,0
0,12,25.59556,50.87507,0
0,15,30.76707,56.18371,0
0,18,35.78289,61.16269,0
0,21,40.7017,65.96127,0
0,24,45.55374,70.65517,0
0,27,50.35494,75.28313,0
0,30,55.1138,79.86459,0
0,33,52.43633,56.02576,0
0,36,50.29909,51.16075,0
0,39,49.02554,48.47602,0
0,42,48.20816,47.00272,0
0,45,47.63207,46.13238,0
0,48,47.18315,45.568,0
0,51,46.8035,45.16076,0
0,54,46.46376,44.83537,0
0,57,46.14854,44.55346,0
0,60,45.84993,44.29565,0
0,63,45.56355,44.05202,0
0,66,45.28674,43.8171,0
0,69,45.01791,43.58799,0
0,72,44.7561,43.36332,0
0,75,44.50058,43.14236,0
0,78,44.25071,42.9245,0
0,81,44.006,42.70935,0
0,84,43.76603,42.4967,0
0,87,43.53045,42.28637,0
0,90,43.29891,42.0782,0
0,93,43.07114,41.8721,0
0,96,42.84686,41.66795,0
0,99,42.62584,41.46563,0
0,102,42.40786,41.26505,0
0,105,42.19271,41.06614,0
0,108,41.98022,40.86883,0
0,111,41.77023,40.67305,0
0,114,41.5626,40.47876,0
0,117,41.35719,40.28589,0
0,120,41.15388,40.09442,0
0,135,40.16547,39.15646,0
0,150,39.21689,38.24797,0
0,165,38.30145,37.36607,0
0,180,37.41488,36.50877,0
0,195,36.55431,35.67458,0
0,210,35.71768,34.86228,0
0,225,34.90342,34.07088,0
0,240,34.11039,33.29953,0
0,255,33.33765,32.5475,0
0,270,32.5844,31.81412,0
0,285,31.8499,31.09873,0
0,300,31.13348,30.40075,0
0,315,30.43452,29.71963,0
0,330,29.75246,29.05484,0
0,345,29.08677,28.40589,0
0,360,28.43696,27.77232,0
0,375,27.80256,27.15368,0
0,390,27.18313,26.54954,0
0,405,26.57824,25.9595,0
0,420,25.98747,25.38316,0
0,435,25.41044,24.82016,0
0,450,24.84676,24.27014,0
0,465,24.29607,23.73274,0
0,480,23.75804,23.20765,0
0,495,23.23233,22.69453,0
0,510,22.71861,22.19308,0
0,525,22.21658,21.70301,0
0,540,21.72594,21.22403,0
0,555,21.24642,20.75586,0
0,570,20.77771,20.29823,0
0,585,20.31958,19.8509,0
0,600,19.87175,19.41362,0
0,615,19.43398,18.98612,0
0,630,19.00601,18.56819,0
0,645,18.58763,18.1596,0
0,660,18.17859,17.76013,0
0,675,17.77869,17.36955,0
0,690,17.38769,16.98767,0
0,705,17.0054,16.61428,0
0,720,16.6316,16.24917,0
0,735,16.26611,15.89217,0
0,750,15.90872,15.54307,0
0,765,15.55925,15.20171,0
0,780,15.21752,14.86789,0
0,795,14.88335,14.54146,0
0,810,14.55656,14.22223,0
0,825,14.237,13.91006,0
0,840,13.92449,13.60477,0
0,855,13.61889,13.30622,0
0,870,13.32002,13.01425,0
0,885,13.02774,12.72871,0
0,900,12.74191,12.44947,0
0,915,12.46237,12.17637,0
0,930,12.18899,11.90929,0
0,945,11.92163,11.64808,0
0,960,11.66015,11.39262,0
0,975,11.40442,11.14278,0
0,990,11.15432,10.89843,0
0,1005,10.90971,10.65945,0
0,1020,10.67048,10.42572,0
0,1035,10.43651,10.19713,0
0,1050,10.20768,9.973557,0
0,1065,9.983871,9.754893,0
0,1080,9.764981,9.541033,0
0,1095,9.550898,9.331867,0
0,1110,9.341515,9.127293,0
0,1125,9.136728,8.927209,0
0,1140,8.936437,8.731518,0
0,1155,8.740542,8.54012,0
0,1170,8.548947,8.352923,0
0,1185,8.361558,8.169835,0
0,1200,8.17828,7.990763,0
0,1215,7.999022,7.81562,0
0,1230,7.823698,7.644319,0
0,1245,7.652219,7.476774,0
0,1260,7.484501,7.312904,0
0,1275,7.320462,7.152628,0
0,1290,7.160019,6.995866,0
0,1305,7.003094,6.84254,0
0,1320,6.84961,6.692577,0
0,1335,6.699491,6.545901,0
0,1350,6.552663,6.402441,0
0,1365,6.409054,6.262126,0
0,1380,6.268593,6.124887,0
0,1395,6.131213,5.990657,0
0,1410,5.996844,5.85937,0
0,1425,5.865422,5.730961,0
0,1440,5.736881,5.605367,0
0,1455,5.611158,5.482527,0
0,1470,5.488191,5.36238,0
0,1485,5.36792,5.244866,0
0,1500,5.250285,5.129929,0
0,1515,5.135229,5.01751,0
0,1530,5.022693,4.907555,0
0,1545,4.912624,4.800009,0
0,1560,4.804968,4.694821,0
0,1575,4.69967,4.591938,0
0,1590,4.59668,4.491309,0
0,1605,4.495947,4.392885,0
0,1620,4.397421,4.296618,0
0,1635,4.301055,4.202462,0
