"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Theophylline|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Theophylline|Concentration in container [µmol/l]","Organism|Lumen|Theophylline|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,0.7123474,2.732625,0
0,6,1.369383,3.635738,0
0,9,1.940178,4.326296,0
0,12,2.464106,4.897773,0
0,15,2.961967,5.408836,0
0,18,3.44484,5.888165,0
0,21,3.918377,6.350116,0
0,24,4.385491,6.802016,0
0,27,4.847713,7.247563,0
0,30,5.305868,7.688657,0
0,33,5.760437,8.126298,0
0,36,6.211719,8.561018,0
0,39,6.659909,8.993122,0
0,42,7.105148,9.422763,0
0,45,7.547546,9.850039,0
0,48,7.987201,10.27502,0
0,51,8.424194,10.69778,0
0,54,8.858598,11.11835,0
0,57,9.290475,11.53676,0
0,60,9.719883,11.95304,0
0,63,10.14688,12.36722,0
0,66,10.57151,12.77932,0
0,69,10.99382,13.18937,0
0,72,11.41386,13.59738,0
0,75,11.83166,14.00339,0
0,78,12.24726,14.40741,0
0,81,12.6607,14.80946,0
0,84,13.072,15.20956,0
0,87,13.4812,15.60772,0
0,90,13.88833,16.00397,0
0,93,14.2934,16.39831,0
0,96,14.69645,16.79075,0
0,99,15.09749,17.18132,0
0,102,15.49655,17.57004,0
0,105,15.89365,17.95691,0
0,108,16.28881,18.34193,0
0,111,16.68203,18.72513,0
0,114,17.07335,19.10652,0
0,117,17.46278,19.48612,0
0,120,17.85033,19.86392,0
0,135,19.76045,21.72653,0
0,150,21.62576,23.54608,0
0,165,23.44774,25.32379,0
0,180,25.22772,27.06081,0
0,195,26.96688,28.75822,0
0,210,28.66632,30.41704,0
0,225,30.32707,32.03826,0
0,240,31.95015,33.62282,0
0,255,33.53651,35.17163,0
0,270,35.08707,36.68559,0
0,285,36.60272,38.16554,0
0,300,38.08432,39.6123,0
0,315,39.5327,41.02669,0
0,330,40.94864,42.40945,0
0,345,42.33292,43.76136,0
0,360,43.6863,45.08313,0
0,375,45.00952,46.37548,0
